function,verify_jwt,uses_service_role,mutating,reads_auth_header,enforces_auth_header,validates_token_with_getUser,role_check_present,company_scope_present,test_or_seed_function
absence-approve,false,true,true,false,false,false,false,true,false
absence-create,false,true,true,false,false,false,false,true,false
acknowledge-document,false,true,true,true,true,true,false,true,false
admin-password-reset,false,true,true,true,true,true,true,false,false
assistant-chat,false,true,true,true,true,true,false,false,false
closure-reminder,false,true,true,false,false,false,false,true,false
company-bootstrap,false,true,true,false,false,false,false,true,false
company-create,false,true,true,true,true,true,true,true,false
company-provision,false,true,true,true,true,true,true,true,false
compliance-evaluator,false,true,true,false,false,false,false,true,false
coverage-check,false,true,false,false,false,false,false,true,false
create-support-ticket,false,true,true,true,true,true,false,true,false
data-retention-purge,false,true,true,false,false,false,false,true,false
employee-change-pin,false,true,true,true,true,true,false,false,false
employee-credentials,false,true,true,false,false,false,false,true,false
employee-message-send,false,true,true,false,false,false,false,true,false
escalation-alert,false,true,true,false,false,false,false,true,false
generate-daily-root,false,true,true,false,false,false,false,true,false
generate-itss-package,false,true,true,false,false,false,false,true,false
generate-legal-document,false,true,true,false,false,false,false,true,false
generate-legal-reports,false,true,true,false,false,false,false,true,false
get-test-credentials,false,true,false,false,false,false,false,true,true
import-holidays-csv,false,true,true,false,false,false,false,false,false
inconsistency-alert,false,true,true,false,false,false,false,true,false
kiosk-auth,false,true,true,false,false,false,true,true,false
kiosk-clock,false,true,true,false,false,false,false,true,false
log-export,false,true,true,true,true,true,false,false,false
message-certify,false,true,true,false,false,false,false,true,false
message-export-evidence,false,true,false,false,false,false,false,false,false
message-read,false,true,true,false,false,false,false,true,false
message-reminder,false,true,true,false,false,false,false,true,false
message-respond,false,true,true,false,false,false,false,true,false
message-scheduler,false,true,true,false,false,false,false,true,false
message-send,false,true,true,false,false,false,false,true,false
notification-dispatcher,false,true,true,false,false,false,false,true,false
orphan-alert,false,true,false,false,false,false,false,true,false
qtsp-export-package,false,true,false,false,false,false,false,true,false
qtsp-health-alert,false,true,true,false,false,false,false,false,false
qtsp-health-monitor,false,true,true,false,false,false,false,false,false
qtsp-notarize,false,true,true,false,false,false,false,true,false
qtsp-retry,false,true,true,false,false,false,false,true,false
qtsp-scheduler,false,true,false,false,false,false,false,true,false
qtsp-toggle-alerts,false,true,true,false,false,false,false,false,false
run-compliance-tests,default_true,true,false,false,false,false,false,true,true
seed-compliance-data,default_true,true,true,false,false,false,false,true,true
seed-v1-fixtures,false,true,true,false,false,false,false,true,true
setup-test-data,false,true,true,false,false,false,false,true,true
setup-test-users,false,true,true,false,false,false,false,false,true
sign-monthly-hours,false,true,true,true,true,true,false,true,false
sla-escalation,false,true,true,false,false,false,false,true,false
sync-template-leaves,false,true,true,false,false,false,false,true,false
templates-diff,false,true,false,true,true,false,false,false,false
templates-publish,false,true,true,true,true,true,false,true,false
templates-simulate,false,true,false,true,true,false,false,true,false
templates-validate,false,true,false,true,true,false,false,false,false
vacation-calculator,false,true,true,false,false,false,false,true,false
weekly-inconsistency-summary,false,true,true,false,false,false,false,true,false
